epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,4894.18,1.03292,0.06252,0.00314,0.98869,0.98693,0.99391,0.84533,0.91765,0.04555,0.00887,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5000.38,1.04947,0.06526,0.00306,0.9887,0.98799,0.99434,0.84138,0.93216,0.04644,0.009,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,5103.85,1.03504,0.06213,0.00308,0.99088,0.98671,0.9942,0.83756,0.9297,0.04593,0.00878,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,5209.45,1.07418,0.06352,0.00293,0.98812,0.9887,0.99398,0.8349,0.92675,0.04745,0.00888,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,5315.93,1.06359,0.06305,0.00301,0.98839,0.98719,0.99418,0.84161,0.94221,0.04823,0.00918,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,5419.63,1.02471,0.06249,0.00301,0.99117,0.98817,0.99451,0.83934,0.91912,0.04522,0.00876,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,5523.35,1.0229,0.06166,0.00296,0.99,0.98709,0.99437,0.84544,0.91315,0.04512,0.00865,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,5629.64,1.03587,0.06092,0.00293,0.99126,0.98805,0.99437,0.84482,0.92297,0.04507,0.00889,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,5734.32,0.98199,0.06013,0.003,0.98949,0.98977,0.99421,0.84702,0.91214,0.04498,0.00879,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,5839.86,1.00496,0.06026,0.00282,0.98947,0.98769,0.99403,0.83461,0.94341,0.04794,0.00909,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,5946.43,0.99797,0.05824,0.0028,0.98869,0.98742,0.99434,0.84334,0.906,0.04424,0.00872,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,6054.32,1.0253,0.05897,0.00266,0.99034,0.98641,0.99414,0.84259,0.92464,0.04513,0.00882,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,6162.29,0.99995,0.05795,0.00274,0.9909,0.98855,0.99422,0.85049,0.89232,0.04579,0.00858,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
